date,indpro
1919-04-01,0.76655
1919-07-01,11.02612
1919-10-01,-2.39617
1920-01-01,9.29644
1920-04-01,-4.65383
1920-07-01,-1.85342
1920-10-01,-13.20744
1921-01-01,-14.22986
1921-04-01,-0.91942
1921-07-01,2.32377
1921-10-01,6.59198
1922-01-01,7.89066
1922-04-01,6.71718
1922-07-01,5.37123
1922-10-01,12.82902
1923-01-01,2.95966
1923-04-01,5.44649
1923-07-01,-2.86883
1923-10-01,-3.24908
1924-01-01,1.37365
1924-04-01,-7.83228
1924-07-01,-2.45092
1924-10-01,8.37624
1925-01-01,5.71804
1925-04-01,0.2925
1925-07-01,0.29164
1925-10-01,4.36033
1926-01-01,0.27865
1926-04-01,0.69391
1926-07-01,2.34487
1926-10-01,1.07854
1927-01-01,0.13263
1927-04-01,-0.93167
1927-07-01,-1.74716
1927-10-01,-3.00908
1928-01-01,3.24274
1928-04-01,1.50402
1928-07-01,3.76828
1928-10-01,5.05791
1929-01-01,3.2096
1929-04-01,3.35045
1929-07-01,1.5032
1929-10-01,-7.06948
1930-01-01,-5.39792
1930-04-01,-3.89093
1930-07-01,-8.77264
1930-10-01,-6.80379
1931-01-01,-1.9054
1931-04-01,0.16096
1931-07-01,-7.26964
1931-10-01,-8.88521
1932-01-01,-5.54368
1932-04-01,-11.33535
1932-07-01,-2.28386
1932-10-01,7.94401
1933-01-01,-4.76352
1933-04-01,20.45674
1933-07-01,19.99831
1933-10-01,-13.20692
1934-01-01,6.52196
1934-04-01,5.27296
1934-07-01,-9.85519
1934-10-01,2.86836
1935-01-01,14.10935
1935-04-01,-1.06822
1935-07-01,4.32075
1935-10-01,7.98763
1936-01-01,-1.36881
1936-04-01,8.33307
1936-07-01,5.51257
1936-10-01,6.19695
1937-01-01,4.34805
1937-04-01,1.75376
1937-07-01,-1.61634
1937-10-01,-17.96291
1938-01-01,-12.01576
1938-04-01,-3.33786
1938-07-01,10.3611
1938-10-01,9.53146
1939-01-01,2.72601
1939-04-01,0.63304
1939-07-01,7.53742
1939-10-01,11.56478
1940-01-01,-3.24661
1940-04-01,2.38179
1940-07-01,5.49635
1940-10-01,5.9122
1941-01-01,8.79887
1941-04-01,6.6955
1941-07-01,3.99348
1941-10-01,2.19423
1942-01-01,4.90794
1942-04-01,-1.31624
1942-07-01,5.55625
1942-10-01,8.42079
1943-01-01,5.37221
1943-04-01,2.94873
1943-07-01,5.24971
1943-10-01,4.36565
1944-01-01,1.19481
1944-04-01,-0.37557
1944-07-01,0.0536
1944-10-01,-0.32321
1945-01-01,-1.89062
1945-04-01,-4.84564
1945-07-01,-13.83091
1945-10-01,-11.08167
1946-01-01,-4.15425
1946-04-01,2.60094
1946-07-01,9.52365
1946-10-01,4.97872
1947-01-01,2.4049
1947-04-01,0.06562
1947-07-01,0.19527
1947-10-01,2.73281
1948-01-01,1.01294
1948-04-01,1.06585
1948-07-01,0.9305
1948-10-01,-1.04489
1949-01-01,-3.22955
1949-04-01,-3.14506
1949-07-01,0.19851
1949-10-01,-0.46275
1950-01-01,5.24913
1950-04-01,8.3969
1950-07-01,8.03677
1950-10-01,1.72506
1951-01-01,2.01388
1951-04-01,0.3118
1951-07-01,-2.38243
1951-10-01,0.69019
1952-01-01,2.31784
1952-04-01,-1.44173
1952-07-01,2.92565
1952-10-01,7.15785
1953-01-01,1.9892
1953-04-01,1.39337
1953-07-01,0.09165
1953-10-01,-4.7138
1954-01-01,-3.17004
1954-04-01,-0.39696
1954-07-01,0.49818
1954-10-01,2.77487
1955-01-01,5.40044
1955-04-01,4.34554
1955-07-01,1.5347
1955-10-01,2.37439
1956-01-01,0.37995
1956-04-01,-0.42031
1956-07-01,-0.54848
1956-10-01,3.64854
1957-01-01,0.94156
1957-04-01,-1.2573
1957-07-01,0.36997
1957-10-01,-4.2147
1958-01-01,-5.63818
1958-04-01,-1.67529
1958-07-01,5.29468
1958-10-01,4.50356
1959-01-01,4.39366
1959-04-01,4.84979
1959-07-01,-4.09054
1959-10-01,0.47844
1960-01-01,6.02921
1960-04-01,-2.16976
1960-07-01,-1.64428
1960-10-01,-2.41053
1961-01-01,-1.51402
1961-04-01,3.96441
1961-07-01,3.19045
1961-10-01,3.50695
1962-01-01,1.49353
1962-04-01,0.96927
1962-07-01,1.06645
1962-10-01,0.84408
1963-01-01,1.84868
1963-04-01,2.63732
1963-07-01,0.66719
1963-10-01,1.69044
1964-01-01,1.36907
1964-04-01,2.34717
1964-07-01,1.60228
1964-10-01,1.51481
1965-01-01,3.77732
1965-04-01,2.31873
1965-07-01,2.09401
1965-10-01,2.02311
1966-01-01,2.86428
1966-04-01,2.08817
1966-07-01,1.54743
1966-10-01,0.95547
1967-01-01,-0.55099
1967-04-01,-0.40741
1967-07-01,0.68766
1967-10-01,2.67595
1968-01-01,1.42751
1968-04-01,1.34823
1968-07-01,0.77584
1968-10-01,1.51845
1969-01-01,1.94554
1969-04-01,0.43628
1969-07-01,1.20045
1969-10-01,-0.6268
1970-01-01,-2.42271
1970-04-01,-0.55022
1970-07-01,-0.35795
1970-10-01,-2.1618
1971-01-01,1.92799
1971-04-01,0.90578
1971-07-01,0.30823
1971-10-01,2.31794
1972-01-01,4.24242
1972-04-01,1.90718
1972-07-01,1.26646
1972-10-01,3.5099
1973-01-01,2.84707
1973-04-01,0.81309
1973-07-01,0.86871
1973-10-01,1.49075
1974-01-01,-0.90866
1974-04-01,0.08048
1974-07-01,-0.44326
1974-10-01,-3.95708
1975-01-01,-6.61218
1975-04-01,-1.28664
1975-07-01,2.4921
1975-10-01,2.14473
1976-01-01,3.07112
1976-04-01,1.26467
1976-07-01,1.30263
1976-10-01,1.7939
1977-01-01,2.06883
1977-04-01,3.08175
1977-07-01,1.11755
1977-10-01,0.64652
1978-01-01,-0.2869
1978-04-01,4.01488
1978-07-01,0.8768
1978-10-01,1.80369
1979-01-01,0.43934
1979-04-01,-0.16904
1979-07-01,-0.31577
1979-10-01,0.36366
1980-01-01,0.39956
1980-04-01,-4.18829
1980-07-01,-1.58087
1980-10-01,3.82214
1981-01-01,0.25917
1981-04-01,0.3183
1981-07-01,0.93796
1981-10-01,-2.20625
1982-01-01,-2.03233
1982-04-01,-1.25179
1982-07-01,-1.39683
1982-10-01,-1.86522
1983-01-01,1.13476
1983-04-01,2.21824
1983-07-01,3.42523
1983-10-01,2.60954
1984-01-01,2.93973
1984-04-01,1.54844
1984-07-01,0.70949
1984-10-01,0.07607
1985-01-01,0.28019
1985-04-01,0.09118
1985-07-01,-0.16775
1985-10-01,0.59955
1986-01-01,0.58432
1986-04-01,-0.58799
1986-07-01,0.40712
1986-10-01,1.10411
1987-01-01,1.32801
1987-04-01,1.75403
1987-07-01,1.8357
1987-10-01,2.4515
1988-01-01,0.90609
1988-04-01,0.82853
1988-07-01,0.39774
1988-10-01,0.70644
1989-01-01,0.44885
1989-04-01,-0.35289
1989-07-01,-0.66194
1989-10-01,0.40493
1990-01-01,0.67845
1990-04-01,0.78326
1990-07-01,0.39987
1990-10-01,-1.555
1991-01-01,-1.91093
1991-04-01,0.60877
1991-07-01,1.33768
1991-10-01,0.2026
1992-01-01,-0.12994
1992-04-01,1.74533
1992-07-01,0.74819
1992-10-01,1.06658
1993-01-01,0.89444
1993-04-01,0.20684
1993-07-01,0.40201
1993-10-01,1.51052
1994-01-01,1.25474
1994-04-01,1.8358
1994-07-01,1.30197
1994-10-01,2.03496
1995-01-01,1.07997
1995-04-01,0.3667
1995-07-01,0.96863
1995-10-01,0.83812
1996-01-01,0.6655
1996-04-01,2.06182
1996-07-01,1.22928
1996-10-01,1.34755
1997-01-01,1.91436
1997-04-01,1.53192
1997-07-01,2.35935
1997-10-01,2.52747
1998-01-01,1.10074
1998-04-01,0.62327
1998-07-01,0.68385
1998-10-01,1.38026
1999-01-01,1.05586
1999-04-01,0.93489
1999-07-01,0.93872
1999-10-01,1.82454
2000-01-01,1.053
2000-04-01,1.29322
2000-07-01,-0.09468
2000-10-01,-0.31186
2001-01-01,-1.43671
2001-04-01,-1.40222
2001-07-01,-1.46377
2001-10-01,-1.14931
2002-01-01,0.71847
2002-04-01,1.59132
2002-07-01,0.5898
2002-10-01,-0.0603
2003-01-01,0.64103
2003-04-01,-0.78009
2003-07-01,0.656
2003-10-01,0.8377
2004-01-01,0.62171
2004-04-01,0.44473
2004-07-01,0.52395
2004-10-01,1.38829
2005-01-01,1.40063
2005-04-01,0.538
2005-07-01,-0.43659
2005-10-01,0.84266
2006-01-01,0.94407
2006-04-01,0.59497
2006-07-01,0.38565
2006-10-01,0.19714
2007-01-01,0.90228
2007-04-01,1.20687
2007-07-01,0.26898
2007-10-01,0.17821
2008-01-01,-0.34285
2008-04-01,-1.35628
2008-07-01,-3.15952
2008-10-01,-4.27388
2009-01-01,-5.41126
2009-04-01,-2.82067
2009-07-01,1.26989
2009-10-01,1.5388
2010-01-01,2.01164
2010-04-01,2.11738
2010-07-01,1.58168
2010-10-01,0.37418
2011-01-01,0.61722
2011-04-01,0.29435
2011-07-01,1.26655
2011-10-01,0.95048
2012-01-01,1.27708
2012-04-01,0.92726
2012-07-01,0.39042
2012-10-01,0.5889
2013-01-01,1.02484
2013-04-01,0.46989
2013-07-01,0.61139
2013-10-01,1.19656
2014-01-01,0.96049
2014-04-01,1.40497
2014-07-01,1.02056
2014-10-01,1.06115
