date,D2000s,Dea,ipr,pr,sr,su,y
1/1/1996,0,0,-0.426587377,0.4,8.2411976,-4.007444687,-0.019040226
4/1/1996,0,0,-0.219767598,0.133333333,4.946606822,-1.455733149,0.770480563
7/1/1996,0,0,0.335241052,0.066666667,-1.752722571,1.208688725,0.54469339
10/1/1996,0,0,0.380119101,0.133333333,7.017095919,3.506695011,0.307615247
1/1/1997,0,0,1.154496449,0.233333333,13.83275649,2.69285881,0.348999186
4/1/1997,0,0,1.891309331,0.066666667,7.967458693,2.945239061,1.250975639
7/1/1997,0,0,1.439351687,0.133333333,12.31686056,3.205097382,0.651606065
10/1/1997,0,0,1.40808963,0.1,-2.10534092,2.193138126,0.990214889
1/1/1998,0,0,1.217359499,0.1,14.11485846,2.265615711,0.606766901
4/1/1998,0,0,0.523309786,0.166666667,17.43995755,1.069528912,0.430896679
7/1/1998,0,0,-0.095913046,0,-2.554166352,-0.503630186,0.559090654
10/1/1998,0,0,-0.609594958,0.033333333,-9.272645582,-3.536714385,0.272898684
1/1/1999,0,0,0.17148986,0.133333333,12.59976264,-2.429269258,0.819286579
4/1/1999,0,0,0.512712082,0.166666667,4.23991909,-0.82304985,0.697358342
7/1/1999,0,0,1.501561468,0.133333333,1.646880771,1.576822264,1.073112774
10/1/1999,0,0,1.675638935,0.166666667,9.018238757,4.287245691,1.157947345
1/1/2000,1,0,0.699375472,0.266666667,19.2496263,3.504997301,1.263863246
4/1/2000,1,0,1.998950431,0.2,0.409556886,1.664791577,0.862764921
7/1/2000,1,0,0.910051783,0.233333333,-0.068143103,-0.656863736,0.450730909
10/1/2000,1,0,1.138344388,0.2,-6.403875965,-2.143145971,0.648923978
1/1/2001,1,0,-0.275971001,0.166666667,-8.17398835,-2.519771731,0.896632465
4/1/2001,1,0,-0.812609763,0.4,-3.124002543,-4.231164549,0.073801083
7/1/2001,1,0,-0.518756151,-1.85E-17,-14.51057312,-5.338888338,0.105330774
10/1/2001,1,0,-1.684441461,0.166666667,-4.325518123,-8.692128284,0.166994158
1/1/2002,0,0,0.547779824,0.266666667,2.808901376,4.474940723,0.135254156
4/1/2002,0,0,0.846182142,0.233333333,-4.893344091,2.417138959,0.557537107
7/1/2002,0,0,0.070193034,0.066666667,-24.93104196,-2.727751806,0.285438085
10/1/2002,0,0,-0.331342238,0.2,-7.203112821,-2.237073364,0.052418639
1/1/2003,0,0,0.471580666,0.333333333,-9.572520367,-1.531641693,-0.075478979
4/1/2003,0,0,-0.975715632,0.066666667,5.766564185,0.465533514,0.086530208
7/1/2003,0,0,0.141414165,0.166666667,8.136808891,2.644257712,0.451841829
10/1/2003,0,0,1.631912874,0.166666667,5.0365712,3.353033923,0.72415181
1/1/2004,0,0,0.39643263,0.233333333,7.635445735,0.335908945,0.502216741
4/1/2004,0,0,0.896072167,0.3,-0.820156911,1.893429759,0.538185909
7/1/2004,0,0,-0.068644278,0.033333333,-2.260655463,0.525107836,0.363796731
10/1/2004,0,0,0.058840837,0.2,5.956226115,0.522364949,0.331513156
1/1/2005,0,0,0.137160794,0.166666667,6.368781926,-2.405784214,0.217720433
4/1/2005,0,0,0.527293478,0.266666667,1.478379618,-1.47852155,0.69540706
7/1/2005,0,0,0.727769939,0.2,7.955879767,1.378404739,0.640211526
10/1/2005,0,0,1.220406249,0.1,3.799127351,2.473332974,0.649692766
1/1/2006,0,0,0.903262619,0.133333333,9.759512135,1.807667073,0.902451496
4/1/2006,0,0,1.642843801,0.366666667,0.337553063,3.334690835,1.111737298
7/1/2006,0,0,0.723632437,0,0.504202749,1.046485451,0.636270165
10/1/2006,0,0,1.039137586,0.166666667,9.049788774,1.247543884,1.085012963
1/1/2007,0,0,0.94692504,0.166666667,4.930049845,0.572894737,0.782072653
4/1/2007,0,0,0.740342854,0.3,6.285160346,1.254871561,0.472722278
7/1/2007,0,1,1.233700611,0.1,-2.987370466,-1.646497366,0.592486003
10/1/2007,0,1,0.354767556,0.466666667,0.281690327,-3.626703519,0.409103238
1/1/2008,0,1,0.617830738,0.3,-14.5050162,-2.921770269,0.575182487
4/1/2008,0,1,-0.945947026,0.433333333,-1.556770481,-3.342381902,-0.405278424
7/1/2008,0,1,-2.100427277,0,-13.79056976,-6.718558448,-0.615064706
10/1/2008,0,1,-7.230932275,-0.2,-30.45695217,-15.58746644,-1.724523868
1/1/2009,0,1,-10.19533573,0,-13.16968663,-11.0417475,-2.880218953
4/1/2009,0,1,-1.173033979,0.233333333,9.637599392,4.768213081,-0.280418861
7/1/2009,0,1,2.332467257,-0.133333333,11.55613062,11.19022646,0.395276272
10/1/2009,0,1,1.325365316,0.2,7.976892259,8.763898861,0.447120888
1/1/2010,0,1,2.022798612,0.2,-0.109589052,4.960279976,0.405631642
4/1/2010,0,1,2.829129361,0.166666667,-2.32955626,2.962927452,0.892687678
7/1/2010,0,1,0.948726345,0.033333333,-0.788736483,3.04055148,0.414002082
10/1/2010,0,1,2.20199598,0.333333333,5.180221464,3.486679717,0.523723015
1/1/2011,0,1,0.678297174,0.366666667,4.412480491,1.497687901,0.754379375
4/1/2011,0,1,-0.183654781,0.2,-1.44930073,-1.686485944,0.071040488
7/1/2011,0,1,0.366972889,0.1,-17.38073324,-6.439155003,0.071197163
10/1/2011,0,1,-1.378261165,0.266666667,-6.140035686,-5.028607583,-0.209182961
1/1/2012,0,1,-0.588121672,0.333333333,9.074231515,0.633804939,-0.099315318
4/1/2012,0,1,-0.621273139,0.1,-8.285791162,-2.812073539,-0.313813578
7/1/2012,0,1,0.059335445,0.2,6.339257684,-5.490993482,-0.12421484
10/1/2012,0,1,-1.986985645,0.133333333,5.380855598,-0.727275929,-0.502208952
1/1/2013,0,0,0.3121384,0.2,6.096695861,3.769764124,-0.225737847
4/1/2013,0,0,0.950529944,0.033333333,1.305785692,-0.333518931,0.264112284
